type,name,ubication,code
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Switches de acceso,MC,11MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Racks de telecomunicaciones,MC,12MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Puntos de acceso WiFi,MC,13MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Cámaras de seguridad,MC,14MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SWITCH CORE,JM,15JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)","SWITCH (E1P1SW, EIPB, etc.)*",JM,16JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",CONVERSOR PUNTONET,JM,17JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",FORTINET PUNTONET,JM,18JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SONICWALL,JM,19JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SRV ALMALINUX,JM,20JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SRV UNIFI,JM,21JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",WINSERVER 2008,JM,22JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",HIKVISION (Cámaras IP),JM,23JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SANGOMA - ISSABEL,JM,24JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",CAJA MULTIMEDIA PUNTO,JM,25JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",ONT PUNTONET PRINCIPAL,JM,26JM
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SWITCH CORE,FS,27FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)","SWITCH (RACK 1, TPLINK, HP)*",FS,28FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)","Acces Points (Aulas, Laboratorio, etc.)**",FS,29FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SERVER ISSABEL,FS,30FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",SONICWALL,FS,31FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",FORTINET PUNTONET,FS,32FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",ONT PUNTONET,FS,33FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",CAJA MULTIMEDIA PRINCIPAL,FS,34FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",CONVERSORES,FS,35FS
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",UPS Power Protection ,MC,01MC
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",UPS Power Protection ,JM,02JM
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",UPS Power Protection ,FS,03FS
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",Power Strips,MC,04MC
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",Power Strips,JM,05JM
"Instalación eléctrica
(Sistemas y componentes eléctricos que proporcionan energía a los diferentes activos de la organización, como cables, generadores, UPS (sistemas de alimentación ininterrumpida) y tableros eléctricos.)",Power Strips,FS,06FS
